SA2 code,5 year growth rate
209021429,1.72
209031209,0.39
209031210,-0.02
209031211,1.59
209031212,0.85
209031213,0.72
209031214,0.45
209031215,0.71
209041216,5.28
209041217,0.46
209041219,2.38
209041220,0.10
209041221,-0.23
209041223,0.15
209041224,5.58
209041225,2.06
209041430,9.62
209041431,1.37
209041432,0.57
209041433,8.84
209041434,15.12
209041435,2.91
209041436,0.75
209041437,32.29
210011226,2.30
210011227,
210011228,0.77
210011229,1.60
210011230,2.44
210011231,1.77
210021232,2.93
210021233,1.22
210021234,1.33
210021235,2.01
210031236,3.86
210031237,2.04
210031239,3.16
210031438,2.75
210031439,1.28
210031440,1.34
210041240,0.47
210041241,2.72
210051242,2.48
210051243,0.45
210051245,0.84
210051246,6.73
210051247,0.11
210051248,2.32
210051249,2.92
210051250,0.74
210051441,0.79
210051442,5.43
210051443,6.23
210051444,17.93
210051445,31.63
211011251,1.46
211011254,3.32
211011255,0.42
211011256,0.13
211011257,0.08
211011258,-0.34
211011259,0.35
211011260,0.66
211011446,1.52
211011447,0.67
211011448,0.22
211011449,0.27
211021261,0.72
211021262,0.25
211031263,0.85
211031265,0.19
211031266,1.51
211031267,1.52
211031268,0.65
211031450,2.27
211031451,2.94
211031452,0.79
211041269,1.37
211041270,1.42
211041271,1.80
211041272,1.22
211041273,0.63
211051274,0.06
211051275,2.76
211051276,1.31
211051277,1.31
211051278,1.05
211051279,0.24
211051280,0.43
211051281,1.68
211051282,0.14
211051283,0.89
211051284,0.05
211051285,0.91
211051286,0.35
212011287,12.84
212011288,1.24
212011289,0.69
212011290,2.97
212011291,6.52
212011292,4.64
212021293,0.59
212021294,2.81
212021295,1.73
212021297,1.33
212021299,2.59
212021453,0.06
212021454,-0.12
212021455,0.57
212021456,1.61
212031300,1.31
212031301,26.99
212031302,7.11
212031303,5.23
212031304,10.66
212031305,1.66
212031306,4.06
212031308,1.02
212031457,0.58
212031458,0.99
212041309,0.18
212041310,1.51
212041311,2.59
212041312,0.62
212041313,0.13
212041314,5.30
212041316,0.42
212041317,2.26
212041318,0.80
212041459,1.82
212041460,1.72
212051319,2.33
212051320,5.30
212051321,0.53
212051322,1.03
212051323,0.71
212051324,1.67
212051325,1.43
212051326,1.71
212051327,0.78
213011328,1.97
213011329,1.73
213011330,2.52
213011331,0.09
213011332,-0.23
213011333,0.45
213011334,1.59
213011335,1.32
213011336,1.84
213011337,1.68
213011338,2.03
213011339,0.82
213011340,-0.28
213021341,1.80
213021342,0.79
213021343,1.65
213021344,1.97
213021345,0.94
213021346,1.68
213031347,2.60
213031348,4.04
213031349,3.34
213031350,1.95
213031351,2.36
213031352,1.88
213041353,3.13
213041355,7.10
213041356,1.47
213041357,8.12
213041358,4.46
213041359,17.83
213041360,3.13
213041461,2.78
213041462,2.72
213041463,2.41
213051361,0.46
213051362,0.89
213051363,10.01
213051365,9.07
213051366,13.95
213051368,3.31
213051369,5.23
213051464,11.89
213051465,2.75
